cell_id,dataset,condition,realization,order,attempted_checkpoint,required_actual_occupancy,status,planned,scored,fires,value,wilson95,change_from_actual_100,threshold,passes
43925e53c31860219a85ef90,mquake,R1_learned_ff,0,100,300,300,complete,100,100,0,0,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":3.469446951953614e-18,""upper"":0.03699349820698568}",0,unavailable,unavailable
c29ee18fb21ba6b387ede6e8,mquake,R1_learned_ff,0,101,300,300,complete,100,100,0,0,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":3.469446951953614e-18,""upper"":0.03699349820698568}",0,unavailable,unavailable
54879da4dcdb0f106f98080a,mquake,R1_learned_ff,0,102,300,300,complete,100,100,0,0,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":3.469446951953614e-18,""upper"":0.03699349820698568}",0,unavailable,unavailable
78ebbc03946239c1d637154c,mquake,R1_learned_ff,0,103,300,300,complete,100,100,0,0,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":3.469446951953614e-18,""upper"":0.03699349820698568}",0,unavailable,unavailable
b1d1e53944241333ec5603d4,mquake,R1_learned_ff,0,104,300,300,complete,100,100,0,0,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":3.469446951953614e-18,""upper"":0.03699349820698568}",0,unavailable,unavailable
de0b9612418e6d573ed77679,mquake,R1_nonlearned,0,100,300,300,complete,100,100,100,1,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.9630065017930143,""upper"":1.0}",0,unavailable,unavailable
be37e2a1ff4a079e56efe268,mquake,R1_nonlearned,0,101,300,300,complete,100,100,100,1,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.9630065017930143,""upper"":1.0}",0.01,unavailable,unavailable
1e6b766c4139230c18547234,mquake,R1_nonlearned,0,102,300,300,complete,100,100,100,1,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.9630065017930143,""upper"":1.0}",0.01,unavailable,unavailable
c0a54c5fbf1ce7776efc983e,mquake,R1_nonlearned,0,103,300,300,complete,100,100,100,1,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.9630065017930143,""upper"":1.0}",0,unavailable,unavailable
7499c19b813dcada2c67ae39,mquake,R1_nonlearned,0,104,300,300,complete,100,100,100,1,"{""confidence"":0.95,""interpretation"":""descriptive binomial reference; fixed development data/selection and dependent prompts limit population inference"",""lower"":0.9630065017930143,""upper"":1.0}",0,unavailable,unavailable
c2f9d3102987f746f4f31b8d,mquake,v0_stable,0,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a23ae9063b37c21cfe657d47,mquake,v0_stable,0,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
5a6f61e06de0bca53b4a7377,mquake,v0_stable,0,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
03426d6e61fb6b41145c5d8e,mquake,v0_stable,0,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
19f5d8535235334ffe1595e8,mquake,v0_stable,0,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
19964c4e7f737707baad94a5,mquake,R1_learned_ff,1,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
40ec11c9694b4265a013c682,mquake,R1_learned_ff,1,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
f0642100f6eb9cd77e92f439,mquake,R1_learned_ff,1,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
b7ff3139c3f3eeb3ff7e9c80,mquake,R1_learned_ff,1,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
1833a410c9e8704f6a379114,mquake,R1_learned_ff,1,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
144f77ff21860a8a089a8080,mquake,R1_nonlearned,1,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
3c3212c0cad597bafe0d5782,mquake,R1_nonlearned,1,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
5d467b73f60b99b3d07f8c02,mquake,R1_nonlearned,1,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
a81b13b1b22e0bfe489daaa0,mquake,R1_nonlearned,1,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
1aff34869825a76d502d92a3,mquake,R1_nonlearned,1,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9179614db32d3fd8b437475b,mquake,v0_stable,1,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
e146662ae0ab343921979246,mquake,v0_stable,1,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
c770960b77b2d9f6304f1a34,mquake,v0_stable,1,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
d49ef9c7980da822326bc6ac,mquake,v0_stable,1,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
eef5c3dc3fc8291d75199816,mquake,v0_stable,1,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
fcd702d12d5d6bfae824379b,mquake,R1_learned_ff,2,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9a1d038b95f534b43185c7fc,mquake,R1_learned_ff,2,101,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
dfc9c9b480e482911c457e07,mquake,R1_learned_ff,2,102,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
34fce88c919bcae6410e4d94,mquake,R1_learned_ff,2,103,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
7a39ae192fb0b1038c651f64,mquake,R1_learned_ff,2,104,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
9e98169ae668b50d60694317,mquake,R1_nonlearned,2,100,300,300,unavailable,100,0,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
