dataset,contrast,checkpoint,metric,status,estimate,realizations,pointwise_interval,adjusted_interval,order_dispersion,t_sensitivity,interpretation,classification,scientific_admission,pairing_issues
zsre,primary-vs-R1_nonlearned,1000,RET-GS,incomplete,unavailable,"[0.45299999999999996,null,null]",unavailable,unavailable,"[{""complete"":true,""maximum"":0.45299999999999996,""mean"":0.45299999999999996,""minimum"":0.45299999999999996,""observed_orders"":5,""order_values"":[0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996],""realization"":0,""sample_sd"":0.0},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-R1_nonlearned,1000,ES,incomplete,unavailable,"[-0.0064000000000000055,null,null]",unavailable,unavailable,"[{""complete"":true,""maximum"":-0.0050000000000000044,""mean"":-0.0064000000000000055,""minimum"":-0.008000000000000007,""observed_orders"":5,""order_values"":[-0.006000000000000005,-0.0050000000000000044,-0.006000000000000005,-0.007000000000000006,-0.008000000000000007],""realization"":0,""sample_sd"":0.001140175425099139},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-R1_nonlearned,1000,LS,incomplete,unavailable,"[0.020000000000000018,null,null]",unavailable,unavailable,"[{""complete"":true,""maximum"":0.020000000000000018,""mean"":0.020000000000000018,""minimum"":0.020000000000000018,""observed_orders"":5,""order_values"":[0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018],""realization"":0,""sample_sd"":0.0},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_stable,1000,RET-GS,incomplete,unavailable,"[0.7707999999999999,null,null]",unavailable,unavailable,"[{""complete"":true,""maximum"":0.7969999999999999,""mean"":0.7707999999999999,""minimum"":0.758,""observed_orders"":5,""order_values"":[0.758,0.7969999999999999,0.7689999999999999,0.7709999999999999,0.7589999999999999],""realization"":0,""sample_sd"":0.015754364474646374},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_stable,1000,ES,incomplete,unavailable,"[-0.0064000000000000055,null,null]",unavailable,unavailable,"[{""complete"":true,""maximum"":-0.0050000000000000044,""mean"":-0.0064000000000000055,""minimum"":-0.008000000000000007,""observed_orders"":5,""order_values"":[-0.006000000000000005,-0.0050000000000000044,-0.006000000000000005,-0.007000000000000006,-0.008000000000000007],""realization"":0,""sample_sd"":0.001140175425099139},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_stable,1000,LS,incomplete,unavailable,"[0.0,null,null]",unavailable,unavailable,"[{""complete"":true,""maximum"":0.0,""mean"":0.0,""minimum"":0.0,""observed_orders"":5,""order_values"":[0.0,0.0,0.0,0.0,0.0],""realization"":0,""sample_sd"":0.0},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-matched_update,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-matched_update,1000,ES,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-matched_update,1000,LS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_live_C1,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
