status,value,passes,operator,threshold,role,reason,dataset,condition,metric,planned_cells,available_cells,failed_cells,realization_estimates,interval95,uncertainty,equivalence
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,unseen_1000,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,outside_change_1000_100,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,revision_latest,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,old_alias_reappearance,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,revision_semantic,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,retention_change,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,es_change,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,-0.01,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,ls_change,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,state_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,peak_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,1,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_learned_ff,wall_budget_ratio,15,0,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.15,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,unseen_1000,15,5,"[""f3dbf1a3d5860a628e7d68ef"",""be44dfb501724b72adcbd747"",""5263d61e569d7cb4ceb4e617"",""81b1e9cb4e216a6cd1cd565a"",""deb5f473d9ca2ed544926204""]",unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,abs_le,0.05,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,outside_change_1000_100,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,revision_latest,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,le,0.02,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,old_alias_reappearance,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
unavailable,unavailable,unavailable,ge,0.95,secondary_descriptive,complete independent three-realization/five-order populations required,zsre,R1_nonlearned,revision_semantic,15,5,[],unavailable,unavailable,"nominal three-realization cluster percentile interval, seed0/10000 draws/float64/linear; five orders retained",unavailable
