dataset,contrast,metric,checkpoint,realization,order_values,complete,observed_orders,mean,minimum,maximum,sample_sd,classifier,interval,role,source_pointer
zsre,primary-vs-R1_nonlearned,RET-GS,1000,0,"[0.45299999999999996, 0.45299999999999996, 0.45299999999999996, 0.45299999999999996, 0.45299999999999996]",True,5,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.0,,,realization_0_descriptive_only,/contrasts/0/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-R1_nonlearned,ES,1000,0,"[-0.006000000000000005, -0.0050000000000000044, -0.006000000000000005, -0.007000000000000006, -0.008000000000000007]",True,5,-0.0064000000000000055,-0.008000000000000007,-0.0050000000000000044,0.001140175425099139,,,realization_0_descriptive_only,/contrasts/0/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-R1_nonlearned,LS,1000,0,"[0.020000000000000018, 0.020000000000000018, 0.020000000000000018, 0.020000000000000018, 0.020000000000000018]",True,5,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.0,,,realization_0_descriptive_only,/contrasts/0/metrics/LS/preliminary/order_dispersion/0
zsre,primary-vs-v0_stable,RET-GS,1000,0,"[0.758, 0.7969999999999999, 0.7689999999999999, 0.7709999999999999, 0.7589999999999999]",True,5,0.7707999999999999,0.758,0.7969999999999999,0.015754364474646374,,,realization_0_descriptive_only,/contrasts/1/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-v0_stable,ES,1000,0,"[-0.006000000000000005, -0.0050000000000000044, -0.006000000000000005, -0.007000000000000006, -0.008000000000000007]",True,5,-0.0064000000000000055,-0.008000000000000007,-0.0050000000000000044,0.001140175425099139,,,realization_0_descriptive_only,/contrasts/1/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-v0_stable,LS,1000,0,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,5,0.0,0.0,0.0,0.0,,,realization_0_descriptive_only,/contrasts/1/metrics/LS/preliminary/order_dispersion/0
zsre,primary-vs-matched_update,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/2/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-matched_update,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/2/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-matched_update,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/2/metrics/LS/preliminary/order_dispersion/0
zsre,primary-vs-v0_live_C1,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/3/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-v0_live_C1,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/3/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-v0_live_C1,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/3/metrics/LS/preliminary/order_dispersion/0
zsre,primary-vs-v0_live_C2,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/4/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-v0_live_C2,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/4/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-v0_live_C2,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/4/metrics/LS/preliminary/order_dispersion/0
zsre,primary-vs-S1_LM,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/5/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-S1_LM,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/5/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-S1_LM,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/5/metrics/LS/preliminary/order_dispersion/0
zsre,primary-vs-S1_literal,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/6/metrics/RET-GS/preliminary/order_dispersion/0
zsre,primary-vs-S1_literal,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/6/metrics/ES/preliminary/order_dispersion/0
zsre,primary-vs-S1_literal,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/6/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-R1_nonlearned,RET-GS,1000,0,"[0.5655, 0.5655, 0.5655, 0.5655, 0.5655]",True,5,0.5655,0.5655,0.5655,0.0,,,realization_0_descriptive_only,/contrasts/7/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-R1_nonlearned,ES,1000,0,"[-0.01100000000000001, -0.007000000000000006, -0.007000000000000006, -0.009000000000000008, -0.009000000000000008]",True,5,-0.008600000000000007,-0.01100000000000001,-0.007000000000000006,0.0016733200530681524,,,realization_0_descriptive_only,/contrasts/7/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-R1_nonlearned,LS,1000,0,"[0.98, 0.98, 0.98, 0.98, 0.98]",True,5,0.9800000000000001,0.98,0.98,1.2412670766236366e-16,,,realization_0_descriptive_only,/contrasts/7/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-v0_stable,RET-GS,1000,0,"[0.6915, 0.6915, 0.6915, 0.6915, 0.6915]",True,5,0.6915,0.6915,0.6915,0.0,,,realization_0_descriptive_only,/contrasts/8/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-v0_stable,ES,1000,0,"[-0.01100000000000001, -0.007000000000000006, -0.007000000000000006, -0.009000000000000008, -0.009000000000000008]",True,5,-0.008600000000000007,-0.01100000000000001,-0.007000000000000006,0.0016733200530681524,,,realization_0_descriptive_only,/contrasts/8/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-v0_stable,LS,1000,0,"[0.0, 0.0, 0.0, 0.0, 0.0]",True,5,0.0,0.0,0.0,0.0,,,realization_0_descriptive_only,/contrasts/8/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-matched_update,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/9/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-matched_update,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/9/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-matched_update,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/9/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-v0_live_C1,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/10/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-v0_live_C1,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/10/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-v0_live_C1,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/10/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-v0_live_C2,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/11/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-v0_live_C2,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/11/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-v0_live_C2,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/11/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-S1_LM,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/12/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-S1_LM,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/12/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-S1_LM,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/12/metrics/LS/preliminary/order_dispersion/0
counterfact,primary-vs-S1_literal,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/13/metrics/RET-GS/preliminary/order_dispersion/0
counterfact,primary-vs-S1_literal,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/13/metrics/ES/preliminary/order_dispersion/0
counterfact,primary-vs-S1_literal,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/13/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-R1_nonlearned,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/14/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-R1_nonlearned,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/14/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-R1_nonlearned,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/14/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-v0_stable,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/15/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-v0_stable,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/15/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-v0_stable,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/15/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-matched_update,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/16/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-matched_update,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/16/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-matched_update,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/16/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-v0_live_C1,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/17/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-v0_live_C1,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/17/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-v0_live_C1,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/17/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-v0_live_C2,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/18/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-v0_live_C2,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/18/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-v0_live_C2,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/18/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-S1_LM,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/19/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-S1_LM,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/19/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-S1_LM,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/19/metrics/LS/preliminary/order_dispersion/0
mquake,primary-vs-S1_literal,RET-GS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/20/metrics/RET-GS/preliminary/order_dispersion/0
mquake,primary-vs-S1_literal,ES,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/20/metrics/ES/preliminary/order_dispersion/0
mquake,primary-vs-S1_literal,LS,1000,0,"[null, null, null, null, null]",False,0,,,,,,,realization_0_descriptive_only,/contrasts/20/metrics/LS/preliminary/order_dispersion/0
