cell_id,dataset,condition,realization,order,checkpoint,reference,near_zero_loss_change,loss_positive_positions,kl_positions,kl_windows,window_mean_kl
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,capoff,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,original,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,capoff,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,original,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1000,capoff,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1000,original,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1000,capoff,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1000,original,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1000,capoff,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1000,original,"{""count"":244760,""denominator"":245237,""fraction"":0.9980549427696473}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9992219819398575,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":401,""top_shares"":{""0.001"":0.9207173842005372,""0.01"":1.0000000000000004},""total"":634.6886613573897,""zero_count"":244836}","{""fraction_for_half_mass"":0.00028136047986233723,""gini"":0.9991657436433359,""minimum_count_for_half_mass"":69,""n"":245237,""positive_count"":477,""top_shares"":{""0.001"":0.8906509468435647,""0.01"":1.0},""total"":584.0300568025491,""zero_count"":244760}","{""fraction_for_half_mass"":0.011393060590367685,""gini"":0.9640878437770195,""minimum_count_for_half_mass"":22,""n"":1931,""positive_count"":200,""top_shares"":{""0.01"":0.46822219851912195,""0.05"":0.92442636453417,""0.1"":0.9991619212587851},""total"":4.598661864587,""zero_count"":1731}","{""benchmark_pass_count"":1739,""n"":1931,""quantiles"":{""0.5"":0.0,""0.9"":0.0009306729334704421,""0.99"":0.061648771369203104,""1.0"":0.24254365308905304},""strict_exceedances"":{""0.01"":90,""0.1"":8}}"
