dataset,checkpoint,comparison,metric,planned_pairs,observed_pairs,status,estimate,interval,realizations,order_dispersion,t_sensitivity,classification,pairing_issues,uncertainty
zsre,100,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",RET-GS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,100,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",ES,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,100,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",LS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,300,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",RET-GS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,300,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",ES,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,300,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",LS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,1000,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",RET-GS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,1000,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",ES,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
zsre,1000,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",LS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
counterfact,100,"{""control"":""R1_learned_ff_v2"",""id"":""primary-vs-historical-v2"",""role"":""secondary"",""treatment"":""R1_learned_ff""}",RET-GS,15,0,incomplete,unavailable,unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",secondary_descriptive,[],unavailable
