dataset,contrast,checkpoint,metric,status,estimate,realizations,pointwise_interval,adjusted_interval,order_dispersion,t_sensitivity,interpretation,classification,scientific_admission,pairing_issues
zsre,primary-vs-R1_nonlearned,1000,RET-GS,complete,0.43633333,"[0.45299999999999996,0.43499999999999994,0.42099999999999993]","{""confidence"":0.975,""lower"":0.421,""upper"":0.453}","{""confidence"":0.9992063492063492,""lower"":0.421,""upper"":0.453}","[{""complete"":true,""maximum"":0.45299999999999996,""mean"":0.45299999999999996,""minimum"":0.45299999999999996,""observed_orders"":5,""order_values"":[0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.45299999999999996],""realization"":0,""sample_sd"":0.0},{""complete"":true,""maximum"":0.43499999999999994,""mean"":0.43499999999999994,""minimum"":0.43499999999999994,""observed_orders"":5,""order_values"":[0.43499999999999994,0.43499999999999994,0.43499999999999994,0.43499999999999994,0.43499999999999994],""realization"":1,""sample_sd"":0.0},{""complete"":true,""maximum"":0.42099999999999993,""mean"":0.42099999999999993,""minimum"":0.42099999999999993,""observed_orders"":5,""order_values"":[0.42099999999999993,0.42099999999999993,0.42099999999999993,0.42099999999999993,0.42099999999999993],""realization"":2,""sample_sd"":0.0}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.0160416125540213,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":0.39648375863109525,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":0.47618290803557123,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
zsre,primary-vs-R1_nonlearned,1000,ES,complete,-0.0056,"[-0.0064000000000000055,-0.005200000000000005,-0.005200000000000005]","{""confidence"":0.975,""lower"":-0.0064000000000000055,""upper"":-0.005200000000000005}","{""confidence"":0.9992063492063492,""lower"":-0.0064000000000000055,""upper"":-0.005200000000000005}","[{""complete"":true,""maximum"":-0.0050000000000000044,""mean"":-0.0064000000000000055,""minimum"":-0.008000000000000007,""observed_orders"":5,""order_values"":[-0.006000000000000005,-0.0050000000000000044,-0.006000000000000005,-0.007000000000000006,-0.008000000000000007],""realization"":0,""sample_sd"":0.001140175425099139},{""complete"":true,""maximum"":-0.0040000000000000036,""mean"":-0.005200000000000005,""minimum"":-0.007000000000000006,""observed_orders"":5,""order_values"":[-0.006000000000000005,-0.0040000000000000036,-0.007000000000000006,-0.0050000000000000044,-0.0040000000000000036],""realization"":1,""sample_sd"":0.0013038404810405309},{""complete"":true,""maximum"":-0.0030000000000000027,""mean"":-0.005200000000000005,""minimum"":-0.008000000000000007,""observed_orders"":5,""order_values"":[-0.0030000000000000027,-0.008000000000000007,-0.0050000000000000044,-0.006000000000000005,-0.0040000000000000036],""realization"":2,""sample_sd"":0.001923538406167136}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.0006928203230275512,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":-0.0073210610918784625,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":-0.0038789389081215478,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
zsre,primary-vs-R1_nonlearned,1000,LS,complete,0.0066666667,"[0.020000000000000018,0.0,0.0]","{""confidence"":0.975,""lower"":0.0,""upper"":0.020000000000000018}","{""confidence"":0.9992063492063492,""lower"":0.0,""upper"":0.020000000000000018}","[{""complete"":true,""maximum"":0.020000000000000018,""mean"":0.020000000000000018,""minimum"":0.020000000000000018,""observed_orders"":5,""order_values"":[0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018],""realization"":0,""sample_sd"":0.0},{""complete"":true,""maximum"":0.0,""mean"":0.0,""minimum"":0.0,""observed_orders"":5,""order_values"":[0.0,0.0,0.0,0.0,0.0],""realization"":1,""sample_sd"":0.0},{""complete"":true,""maximum"":0.0,""mean"":0.0,""minimum"":0.0,""observed_orders"":5,""order_values"":[0.0,0.0,0.0,0.0,0.0],""realization"":2,""sample_sd"":0.0}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.011547005383792526,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":-0.02201768486464097,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":0.035351018197974315,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
zsre,primary-vs-v0_stable,1000,RET-GS,complete,0.77473333,"[0.7707999999999999,0.7876,0.7657999999999999]","{""confidence"":0.975,""lower"":0.7657999999999999,""upper"":0.7876}","{""confidence"":0.9992063492063492,""lower"":0.7657999999999999,""upper"":0.7876}","[{""complete"":true,""maximum"":0.7969999999999999,""mean"":0.7707999999999999,""minimum"":0.758,""observed_orders"":5,""order_values"":[0.758,0.7969999999999999,0.7689999999999999,0.7709999999999999,0.7589999999999999],""realization"":0,""sample_sd"":0.015754364474646374},{""complete"":true,""maximum"":0.7989999999999999,""mean"":0.7876,""minimum"":0.778,""observed_orders"":5,""order_values"":[0.7849999999999999,0.7889999999999999,0.7869999999999999,0.7989999999999999,0.778],""realization"":1,""sample_sd"":0.007602631123499257},{""complete"":true,""maximum"":0.7829999999999999,""mean"":0.7657999999999999,""minimum"":0.756,""observed_orders"":5,""order_values"":[0.756,0.76,0.757,0.7829999999999999,0.7729999999999999],""realization"":2,""sample_sd"":0.011777096416349782}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.011419865731843516,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":0.746364814206087,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":0.8031018524605795,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
zsre,primary-vs-v0_stable,1000,ES,complete,-0.0054666667,"[-0.0064000000000000055,-0.004800000000000004,-0.005200000000000005]","{""confidence"":0.975,""lower"":-0.0064000000000000055,""upper"":-0.004800000000000004}","{""confidence"":0.9992063492063492,""lower"":-0.0064000000000000055,""upper"":-0.004800000000000004}","[{""complete"":true,""maximum"":-0.0050000000000000044,""mean"":-0.0064000000000000055,""minimum"":-0.008000000000000007,""observed_orders"":5,""order_values"":[-0.006000000000000005,-0.0050000000000000044,-0.006000000000000005,-0.007000000000000006,-0.008000000000000007],""realization"":0,""sample_sd"":0.001140175425099139},{""complete"":true,""maximum"":-0.0030000000000000027,""mean"":-0.004800000000000004,""minimum"":-0.007000000000000006,""observed_orders"":5,""order_values"":[-0.006000000000000005,-0.0030000000000000027,-0.007000000000000006,-0.0040000000000000036,-0.0040000000000000036],""realization"":1,""sample_sd"":0.0016431676725154997},{""complete"":true,""maximum"":-0.0030000000000000027,""mean"":-0.005200000000000005,""minimum"":-0.008000000000000007,""observed_orders"":5,""order_values"":[-0.0030000000000000027,-0.008000000000000007,-0.0050000000000000044,-0.006000000000000005,-0.0040000000000000036],""realization"":2,""sample_sd"":0.001923538406167136}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.0008326663997864538,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":-0.007535124671657945,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":-0.003398208661675397,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
zsre,primary-vs-v0_stable,1000,LS,complete,0.029333333,"[0.0,0.06400000000000002,0.02400000000000002]","{""confidence"":0.975,""lower"":0.0,""upper"":0.06400000000000002}","{""confidence"":0.9992063492063492,""lower"":0.0,""upper"":0.06400000000000002}","[{""complete"":true,""maximum"":0.0,""mean"":0.0,""minimum"":0.0,""observed_orders"":5,""order_values"":[0.0,0.0,0.0,0.0,0.0],""realization"":0,""sample_sd"":0.0},{""complete"":true,""maximum"":0.14,""mean"":0.06400000000000002,""minimum"":0.0,""observed_orders"":5,""order_values"":[0.0,0.0,0.14,0.14,0.040000000000000036],""realization"":1,""sample_sd"":0.07127411872482185},{""complete"":true,""maximum"":0.040000000000000036,""mean"":0.02400000000000002,""minimum"":0.0,""observed_orders"":5,""order_values"":[0.040000000000000036,0.040000000000000036,0.0,0.020000000000000018,0.020000000000000018],""realization"":2,""sample_sd"":0.016733200530681523}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":0.03233161507461905,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":-0.05098285095432799,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""complete"",""upper"":0.10964951762099469,""zero_variance_caveat"":null}",preliminary_decision_summary,positive,True,[]
zsre,primary-vs-matched_update,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-matched_update,1000,ES,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-matched_update,1000,LS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
zsre,primary-vs-v0_live_C1,1000,RET-GS,incomplete,unavailable,"[null,null,null]",unavailable,unavailable,"[{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":0,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":1,""sample_sd"":null},{""complete"":false,""maximum"":null,""mean"":null,""minimum"":null,""observed_orders"":0,""order_values"":[null,null,null,null,null],""realization"":2,""sample_sd"":null}]","{""assumptions"":""independent identically distributed normal realization errors; not checked with n=3"",""between_realization_sample_sd"":null,""confidence"":0.95,""critical_value"":4.302652729696142,""degrees_of_freedom"":2,""family_adjusted"":false,""lower"":null,""method"":""Student_t"",""role"":""secondary_sensitivity_not_classifier_input"",""status"":""unavailable"",""upper"":null,""zero_variance_caveat"":null}",preliminary_decision_summary,unavailable,False,[]
