cell_id,dataset,condition,realization,order,checkpoint,population,reference,metric,status,planned,scored,mean_signed,mean_positive,ES95_positive,ES99_positive,maximum_positive,exceedances_nats,exp_mean_signed,exp_mean_signed_overflow,maximum_signed,maximum_location,maximum_tie_count,maximum_location_basis,maximum_tie_convention,atom_zero_signed,atom_zero_positive,zero_positive_n,zero_positive_denominator
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,sampled_drift,original,loss,complete,16256,16256,0.00060518953,0.00071856066,0.014371213,0.071856066,2.3781729,"{""0.01"":14,""0.1"":14,""1.0"":4}",1.0006054,False,unavailable,w95:p47,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16241,16256
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,sampled_drift,capoff,loss,complete,16256,16256,0.00060518953,0.00071856066,0.014371213,0.071856066,2.3781729,"{""0.01"":14,""0.1"":14,""1.0"":4}",1.0006054,False,unavailable,w95:p47,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16241,16256
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,sampled_drift,original,loss,complete,16256,16256,0.0027886766,0.0029614809,0.059229618,0.29614809,8.3038369,"{""0.01"":33,""0.1"":31,""1.0"":15}",1.0027926,False,unavailable,w96:p44,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16222,16256
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,sampled_drift,capoff,loss,complete,16256,16256,0.0027886766,0.0029614809,0.059229618,0.29614809,8.3038369,"{""0.01"":33,""0.1"":31,""1.0"":15}",1.0027926,False,unavailable,w96:p44,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16222,16256
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,sampled_drift,original,loss,complete,16256,16256,0.0020836338,0.0021261523,0.042523047,0.21261523,5.0796499,"{""0.01"":30,""0.1"":29,""1.0"":13}",1.0020858,False,unavailable,w94:p100,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16224,16256
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,sampled_drift,capoff,loss,complete,16256,16256,0.0020836338,0.0021261523,0.042523047,0.21261523,5.0796499,"{""0.01"":30,""0.1"":29,""1.0"":13}",1.0020858,False,unavailable,w94:p100,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16224,16256
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,full_validation,capoff,loss,complete,245237,245237,0.0024502257,0.0025880624,0.051761248,0.25880624,9.2622675,"{""0.01"":{""count"":395,""denominator"":245237},""0.1"":{""count"":374,""denominator"":245237},""1.0"":{""count"":197,""denominator"":245237}}",1.0024532,False,9.2622675,w860:p44,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244836,""denominator"":245237}",unavailable,unavailable
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,full_validation,capoff,kl,complete,245237,245237,0.0023814924,0.0023814924,0.047629848,0.23814924,8.5044041,"{""0.01"":{""count"":474,""denominator"":245237},""0.1"":{""count"":444,""denominator"":245237},""1.0"":{""count"":168,""denominator"":245237}}",unavailable,unavailable,8.5044041,w939:p39,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244760,""denominator"":245237}",unavailable,unavailable
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,full_validation,original,loss,complete,245237,245237,0.0024502257,0.0025880624,0.051761248,0.25880624,9.2622675,"{""0.01"":{""count"":395,""denominator"":245237},""0.1"":{""count"":374,""denominator"":245237},""1.0"":{""count"":197,""denominator"":245237}}",1.0024532,False,9.2622675,w860:p44,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244836,""denominator"":245237}",unavailable,unavailable
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,full_validation,original,kl,complete,245237,245237,0.0023814924,0.0023814924,0.047629848,0.23814924,8.5044041,"{""0.01"":{""count"":474,""denominator"":245237},""0.1"":{""count"":444,""denominator"":245237},""1.0"":{""count"":168,""denominator"":245237}}",unavailable,unavailable,8.5044041,w939:p39,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244760,""denominator"":245237}",unavailable,unavailable
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,100,sampled_drift,original,loss,complete,16256,16256,0.0014500679,0.0014500679,0.029001358,0.14500679,5.2361237,"{""0.01"":19,""0.1"":17,""1.0"":6}",1.0014511,False,unavailable,w39:p56,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16236,16256
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,100,sampled_drift,capoff,loss,complete,16256,16256,0.0014500679,0.0014500679,0.029001358,0.14500679,5.2361237,"{""0.01"":19,""0.1"":17,""1.0"":6}",1.0014511,False,unavailable,w39:p56,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16236,16256
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,300,sampled_drift,original,loss,complete,16256,16256,0.0023581813,0.0024497897,0.048995793,0.24497897,5.2504223,"{""0.01"":33,""0.1"":32,""1.0"":12}",1.002361,False,unavailable,w49:p68,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16221,16256
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,300,sampled_drift,capoff,loss,complete,16256,16256,0.0023581813,0.0024497897,0.048995793,0.24497897,5.2504223,"{""0.01"":33,""0.1"":32,""1.0"":12}",1.002361,False,unavailable,w49:p68,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16221,16256
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,sampled_drift,original,loss,complete,16256,16256,0.0020836338,0.0021261523,0.042523047,0.21261523,5.0796499,"{""0.01"":30,""0.1"":29,""1.0"":13}",1.0020858,False,unavailable,w94:p100,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16224,16256
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,sampled_drift,capoff,loss,complete,16256,16256,0.0020836338,0.0021261523,0.042523047,0.21261523,5.0796499,"{""0.01"":30,""0.1"":29,""1.0"":13}",1.0020858,False,unavailable,w94:p100,unavailable,positive-part maximum,first in producer sample order; tie count unavailable,unavailable,unavailable,16224,16256
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,full_validation,capoff,loss,complete,245237,245237,0.0024502257,0.0025880624,0.051761248,0.25880624,9.2622675,"{""0.01"":{""count"":395,""denominator"":245237},""0.1"":{""count"":374,""denominator"":245237},""1.0"":{""count"":197,""denominator"":245237}}",1.0024532,False,9.2622675,w860:p44,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244836,""denominator"":245237}",unavailable,unavailable
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,full_validation,capoff,kl,complete,245237,245237,0.0023814924,0.0023814924,0.047629848,0.23814924,8.5044041,"{""0.01"":{""count"":474,""denominator"":245237},""0.1"":{""count"":444,""denominator"":245237},""1.0"":{""count"":168,""denominator"":245237}}",unavailable,unavailable,8.5044041,w939:p39,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244760,""denominator"":245237}",unavailable,unavailable
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,full_validation,original,loss,complete,245237,245237,0.0024502257,0.0025880624,0.051761248,0.25880624,9.2622675,"{""0.01"":{""count"":395,""denominator"":245237},""0.1"":{""count"":374,""denominator"":245237},""1.0"":{""count"":197,""denominator"":245237}}",1.0024532,False,9.2622675,w860:p44,1,signed maximum,first in producer window/position order; exact equality,"{""count"":244760,""denominator"":245237}","{""count"":244836,""denominator"":245237}",unavailable,unavailable
