cell_id,dataset,condition,realization,order,checkpoint,metric,planned,scored,numerator,value,evaluated_value,status,status_counts
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,RET-GS,100,100,97,0.97,0.97,complete,"{""ok"":100}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,RET-GS,300,300,295,0.98333333,0.98333333,complete,"{""ok"":300}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,ES,1000,1000,994,0.994,0.994,complete,"{""ok"":1000}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,RET-ES,1000,1000,977,0.977,0.977,complete,"{""ok"":1000}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,RET-GS,1000,1000,955,0.955,0.955,complete,"{""ok"":1000}"
61348508e40d54351613ab14,zsre,R1_learned_ff,0,100,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,100,RET-GS,100,100,99,0.99,0.99,complete,"{""ok"":100}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,300,RET-GS,300,300,298,0.99333333,0.99333333,complete,"{""ok"":300}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,ES,1000,1000,995,0.995,0.995,complete,"{""ok"":1000}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,RET-ES,1000,1000,977,0.977,0.977,complete,"{""ok"":1000}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,RET-GS,1000,1000,955,0.955,0.955,complete,"{""ok"":1000}"
88af67fa5945b642e8ba7974,zsre,R1_learned_ff,0,101,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,100,RET-GS,100,100,100,1,1,complete,"{""ok"":100}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,300,RET-GS,300,300,295,0.98333333,0.98333333,complete,"{""ok"":300}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1000,ES,1000,1000,994,0.994,0.994,complete,"{""ok"":1000}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1000,RET-ES,1000,1000,977,0.977,0.977,complete,"{""ok"":1000}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1000,RET-GS,1000,1000,955,0.955,0.955,complete,"{""ok"":1000}"
915f97b05f3fa2a81de09cdf,zsre,R1_learned_ff,0,102,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,100,RET-GS,100,100,99,0.99,0.99,complete,"{""ok"":100}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,300,RET-GS,300,300,295,0.98333333,0.98333333,complete,"{""ok"":300}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1000,ES,1000,1000,993,0.993,0.993,complete,"{""ok"":1000}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1000,RET-ES,1000,1000,977,0.977,0.977,complete,"{""ok"":1000}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1000,RET-GS,1000,1000,955,0.955,0.955,complete,"{""ok"":1000}"
4aa4849ba414edab2504f56b,zsre,R1_learned_ff,0,103,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,100,RET-GS,100,100,98,0.98,0.98,complete,"{""ok"":100}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,300,ES,300,300,300,1,1,complete,"{""ok"":300}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,300,RET-ES,300,300,300,1,1,complete,"{""ok"":300}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,300,RET-GS,300,300,293,0.97666667,0.97666667,complete,"{""ok"":300}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,300,LS,50,50,50,1,1,complete,"{""ok"":50}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1000,ES,1000,1000,992,0.992,0.992,complete,"{""ok"":1000}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1000,RET-ES,1000,1000,977,0.977,0.977,complete,"{""ok"":1000}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1000,RET-GS,1000,1000,955,0.955,0.955,complete,"{""ok"":1000}"
9ebc93cc7912bd5d1c929418,zsre,R1_learned_ff,0,104,1000,LS,50,50,50,1,1,complete,"{""ok"":50}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,100,ES,100,100,100,1,1,complete,"{""ok"":100}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,100,RET-ES,100,100,100,1,1,complete,"{""ok"":100}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,100,RET-GS,100,100,82.5,0.825,0.825,complete,"{""ok"":100}"
ce0d0ffc2a58a60e27c460d9,counterfact,R1_learned_ff,0,100,100,LS,50,50,50,1,1,complete,"{""ok"":50}"
