dataset,condition,realization,checkpoint,source_pointers,primary,near_miss,revision_semantic,cap_benchmark_passes,fidelity
counterfact,R1_learned_ff,0,1000,"[""/cells/5/checkpoints/1000"", ""/cells/6/checkpoints/1000"", ""/cells/7/checkpoints/1000"", ""/cells/8/checkpoints/1000"", ""/cells/9/checkpoints/1000""]","{""ES"": [0.989, 0.993, 0.993, 0.991, 0.991], ""RET-ES"": [0.974, 0.974, 0.974, 0.974, 0.974], ""RET-GS"": [0.6915, 0.6915, 0.6915, 0.6915, 0.6915], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.0057653779069526435, 0.0057653779069526435, 0.0057653779069526435, 0.0057653779069526435, 0.0057653779069526435], ""mean_signed_nll"": [0.005849625817388068, 0.005849625817388068, 0.005849625817388068, 0.005849625817388068, 0.005849625817388068], ""max_positive_nll"": [15.381804505753664, 15.381804505753664, 15.381804505753664, 15.381804505753664, 15.381804505753664], ""half_kl_positions"": [119, 119, 119, 119, 119]}, ""original"": {""mean_kl"": [0.0057653779069526435, 0.0057653779069526435, 0.0057653779069526435, 0.0057653779069526435, 0.0057653779069526435], ""mean_signed_nll"": [0.005849625817388068, 0.005849625817388068, 0.005849625817388068, 0.005849625817388068, 0.005849625817388068], ""max_positive_nll"": [15.381804505753664, 15.381804505753664, 15.381804505753664, 15.381804505753664, 15.381804505753664], ""half_kl_positions"": [119, 119, 119, 119, 119]}}"
counterfact,R1_learned_ff,1,1000,"[""/cells/50/checkpoints/1000"", ""/cells/51/checkpoints/1000"", ""/cells/52/checkpoints/1000"", ""/cells/53/checkpoints/1000"", ""/cells/54/checkpoints/1000""]","{""ES"": [0.99, 0.995, 0.994, 0.994, 0.995], ""RET-ES"": [0.981, 0.981, 0.981, 0.981, 0.981], ""RET-GS"": [0.666, 0.666, 0.666, 0.666, 0.666], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.98, 0.98, 0.98, 0.98, 0.98]",0,"{""capoff"": {""mean_kl"": [0.004727862359501758, 0.004727862359501758, 0.004727862359501758, 0.004727862359501758, 0.004727862359501758], ""mean_signed_nll"": [0.004620801411335618, 0.004620801411335618, 0.004620801411335618, 0.004620801411335618, 0.004620801411335618], ""max_positive_nll"": [11.365768313044663, 11.365768313044663, 11.365768313044663, 11.365768313044663, 11.365768313044663], ""half_kl_positions"": [116, 116, 116, 116, 116]}, ""original"": {""mean_kl"": [0.004727862359501758, 0.004727862359501758, 0.004727862359501758, 0.004727862359501758, 0.004727862359501758], ""mean_signed_nll"": [0.004620801411335618, 0.004620801411335618, 0.004620801411335618, 0.004620801411335618, 0.004620801411335618], ""max_positive_nll"": [11.365768313044663, 11.365768313044663, 11.365768313044663, 11.365768313044663, 11.365768313044663], ""half_kl_positions"": [116, 116, 116, 116, 116]}}"
counterfact,R1_learned_ff,2,1000,"[""/cells/95/checkpoints/1000"", ""/cells/96/checkpoints/1000"", ""/cells/97/checkpoints/1000"", ""/cells/98/checkpoints/1000"", ""/cells/99/checkpoints/1000""]","{""ES"": [0.993, 0.99, 0.994, 0.996, 0.996], ""RET-ES"": [0.976, 0.976, 0.976, 0.976, 0.976], ""RET-GS"": [0.6765, 0.6765, 0.6765, 0.6765, 0.6765], ""LS"": [0.96, 0.96, 0.96, 0.96, 0.96]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.98, 0.98, 0.98, 0.98, 0.98]",0,"{""capoff"": {""mean_kl"": [0.00578063758330125, 0.00578063758330125, 0.00578063758330125, 0.00578063758330125, 0.00578063758330125], ""mean_signed_nll"": [0.0060233174282145205, 0.0060233174282145205, 0.0060233174282145205, 0.0060233174282145205, 0.0060233174282145205], ""max_positive_nll"": [14.030780591144318, 14.030780591144318, 14.030780591144318, 14.030780591144318, 14.030780591144318], ""half_kl_positions"": [145, 145, 145, 145, 145]}, ""original"": {""mean_kl"": [0.00578063758330125, 0.00578063758330125, 0.00578063758330125, 0.00578063758330125, 0.00578063758330125], ""mean_signed_nll"": [0.0060233174282145205, 0.0060233174282145205, 0.0060233174282145205, 0.0060233174282145205, 0.0060233174282145205], ""max_positive_nll"": [14.030780591144318, 14.030780591144318, 14.030780591144318, 14.030780591144318, 14.030780591144318], ""half_kl_positions"": [145, 145, 145, 145, 145]}}"
counterfact,R1_nonlearned,0,1000,"[""/cells/20/checkpoints/1000"", ""/cells/21/checkpoints/1000"", ""/cells/22/checkpoints/1000"", ""/cells/23/checkpoints/1000"", ""/cells/24/checkpoints/1000""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.126, 0.126, 0.126, 0.126, 0.126], ""LS"": [0.02, 0.02, 0.02, 0.02, 0.02]}","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.05977934119902555, 0.05978057548689135, 0.05977934119902555, 0.05977934119902555, 0.05977934119902555], ""mean_signed_nll"": [0.05952630359046135, 0.05953122235103673, 0.05952630359046135, 0.05952630359046135, 0.05952630359046135], ""max_positive_nll"": [20.283374764778678, 20.283374764778678, 20.283374764778678, 20.283374764778678, 20.283374764778678], ""half_kl_positions"": [1123, 1123, 1123, 1123, 1123]}, ""original"": {""mean_kl"": [0.05977934119902555, 0.05978057548689135, 0.05977934119902555, 0.05977934119902555, 0.05977934119902555], ""mean_signed_nll"": [0.05952630359046135, 0.05953122235103673, 0.05952630359046135, 0.05952630359046135, 0.05952630359046135], ""max_positive_nll"": [20.283374764778678, 20.283374764778678, 20.283374764778678, 20.283374764778678, 20.283374764778678], ""half_kl_positions"": [1123, 1123, 1123, 1123, 1123]}}"
counterfact,R1_nonlearned,1,1000,"[""/cells/65/checkpoints/1000"", ""/cells/66/checkpoints/1000"", ""/cells/67/checkpoints/1000"", ""/cells/68/checkpoints/1000"", ""/cells/69/checkpoints/1000""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.121, 0.121, 0.121, 0.121, 0.121], ""LS"": [0.0, 0.0, 0.0, 0.0, 0.0]}","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.08933935659883886, 0.08933935659883886, 0.08933935659883886, 0.08933935659883886, 0.08933935659883886], ""mean_signed_nll"": [0.08823741174386562, 0.08823741174386562, 0.08823741174386562, 0.08823741174386562, 0.08823741174386562], ""max_positive_nll"": [17.451521585492255, 17.451521585492255, 17.451521585492255, 17.451521585492255, 17.451521585492255], ""half_kl_positions"": [1621, 1621, 1621, 1621, 1621]}, ""original"": {""mean_kl"": [0.08933935659883886, 0.08933935659883886, 0.08933935659883886, 0.08933935659883886, 0.08933935659883886], ""mean_signed_nll"": [0.08823741174386562, 0.08823741174386562, 0.08823741174386562, 0.08823741174386562, 0.08823741174386562], ""max_positive_nll"": [17.451521585492255, 17.451521585492255, 17.451521585492255, 17.451521585492255, 17.451521585492255], ""half_kl_positions"": [1621, 1621, 1621, 1621, 1621]}}"
counterfact,R1_nonlearned,2,1000,"[""/cells/110/checkpoints/1000"", ""/cells/111/checkpoints/1000"", ""/cells/112/checkpoints/1000"", ""/cells/113/checkpoints/1000"", ""/cells/114/checkpoints/1000""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.1145, 0.1145, 0.1145, 0.1145, 0.1145], ""LS"": [0.0, 0.0, 0.0, 0.0, 0.0]}","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.06422582137593758, 0.06422582137593758, 0.06422582137593758, 0.06422582137593758, 0.06422582137593758], ""mean_signed_nll"": [0.06412106305565372, 0.06412106305565372, 0.06412106305565372, 0.06412106305565372, 0.06412106305565372], ""max_positive_nll"": [16.299413709741568, 16.299413709741568, 16.299413709741568, 16.299413709741568, 16.299413709741568], ""half_kl_positions"": [1194, 1194, 1194, 1194, 1194]}, ""original"": {""mean_kl"": [0.06422582137593758, 0.06422582137593758, 0.06422582137593758, 0.06422582137593758, 0.06422582137593758], ""mean_signed_nll"": [0.06412106305565372, 0.06412106305565372, 0.06412106305565372, 0.06412106305565372, 0.06412106305565372], ""max_positive_nll"": [16.299413709741568, 16.299413709741568, 16.299413709741568, 16.299413709741568, 16.299413709741568], ""half_kl_positions"": [1194, 1194, 1194, 1194, 1194]}}"
counterfact,v0_stable,0,1000,"[""/cells/35/checkpoints/1000"", ""/cells/36/checkpoints/1000"", ""/cells/37/checkpoints/1000"", ""/cells/38/checkpoints/1000"", ""/cells/39/checkpoints/1000""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[null, null, null, null, null]",5,"{""capoff"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}, ""original"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}}"
counterfact,v0_stable,1,1000,"[""/cells/80/checkpoints/1000"", ""/cells/81/checkpoints/1000"", ""/cells/82/checkpoints/1000"", ""/cells/83/checkpoints/1000"", ""/cells/84/checkpoints/1000""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[null, null, null, null, null]",5,"{""capoff"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}, ""original"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}}"
counterfact,v0_stable,2,1000,"[""/cells/125/checkpoints/1000"", ""/cells/126/checkpoints/1000"", ""/cells/127/checkpoints/1000"", ""/cells/128/checkpoints/1000"", ""/cells/129/checkpoints/1000""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[null, null, null, null, null]",5,"{""capoff"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}, ""original"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}}"
mquake,R1_learned_ff,0,300,"[""/cells/10/checkpoints/300"", ""/cells/11/checkpoints/300"", ""/cells/12/checkpoints/300"", ""/cells/13/checkpoints/300"", ""/cells/14/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334, 0.7033333333333334], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.007123341825502143, 0.007123341825502143, 0.007123341825502143, 0.007123341825502143, 0.007123341825502143], ""mean_signed_nll"": [0.007146157978726167, 0.007146157978726167, 0.007146157978726167, 0.007146157978726167, 0.007146157978726167], ""max_positive_nll"": [13.144280378335093, 13.144280378335093, 13.144280378335093, 13.144280378335093, 13.144280378335093], ""half_kl_positions"": [182, 182, 182, 182, 182]}, ""original"": {""mean_kl"": [0.007123341825502143, 0.007123341825502143, 0.007123341825502143, 0.007123341825502143, 0.007123341825502143], ""mean_signed_nll"": [0.007146157978726167, 0.007146157978726167, 0.007146157978726167, 0.007146157978726167, 0.007146157978726167], ""max_positive_nll"": [13.144280378335093, 13.144280378335093, 13.144280378335093, 13.144280378335093, 13.144280378335093], ""half_kl_positions"": [182, 182, 182, 182, 182]}}"
